target,model,feature,display_feature,importance,method,rank
target_aqi_24h,random_forest,day_of_month,Day of month,2.0400313581482243,mean_abs_shap,1
target_aqi_24h,random_forest,pm10_rolling_mean_12h,PM10 rolling mean 12h,1.9076689670444738,mean_abs_shap,2
target_aqi_24h,random_forest,pm2_5,PM2.5,1.5025386943317598,mean_abs_shap,3
target_aqi_24h,random_forest,pm10,PM10,1.1823846247107201,mean_abs_shap,4
target_aqi_24h,random_forest,wind_speed_10m_rolling_mean_24h,Wind speed rolling mean 24h,0.9393293725409634,mean_abs_shap,5
target_aqi_24h,random_forest,pm10_rolling_mean_3h,PM10 rolling mean 3h,0.8122851950094918,mean_abs_shap,6
target_aqi_24h,random_forest,wind_speed_10m_rolling_std_72h,Wind speed rolling std 72h,0.6356288322741579,mean_abs_shap,7
target_aqi_24h,random_forest,temperature_2m_rolling_mean_24h,Temperature rolling mean 24h,0.6354426311341912,mean_abs_shap,8
target_aqi_24h,random_forest,pm10_lag_12h,PM10 lag 12h,0.5690893287680182,mean_abs_shap,9
target_aqi_24h,random_forest,temperature_2m_rolling_mean_48h,Temperature rolling mean 48h,0.49329052350508085,mean_abs_shap,10
target_aqi_24h,random_forest,temperature_2m_rolling_std_72h,Temperature rolling std 72h,0.4303136574598452,mean_abs_shap,11
target_aqi_24h,random_forest,wind_speed_10m_rolling_mean_72h,Wind speed rolling mean 72h,0.23655702322975494,mean_abs_shap,12
target_aqi_24h,random_forest,us_aqi_rolling_std_72h,US AQI rolling std 72h,0.2342746743052233,mean_abs_shap,13
target_aqi_24h,random_forest,pm2_5_rolling_mean_12h,PM2.5 rolling mean 12h,0.21254885896960338,mean_abs_shap,14
target_aqi_24h,random_forest,pm10_rolling_mean_6h,PM10 rolling mean 6h,0.20288939764811786,mean_abs_shap,15
target_aqi_24h,random_forest,us_aqi_rolling_mean_48h,US AQI rolling mean 48h,0.2028572354397885,mean_abs_shap,16
target_aqi_24h,random_forest,pm10_rolling_std_72h,PM10 rolling std 72h,0.19383547713131385,mean_abs_shap,17
target_aqi_24h,random_forest,us_aqi_lag_72h,US AQI lag 72h,0.19102726476315704,mean_abs_shap,18
target_aqi_24h,random_forest,wind_speed_10m_rolling_mean_48h,Wind speed rolling mean 48h,0.1828239368752344,mean_abs_shap,19
target_aqi_24h,random_forest,day_of_week,Day of week,0.17998005733029643,mean_abs_shap,20
target_aqi_24h,random_forest,pm2_5_rolling_mean_6h,PM2.5 rolling mean 6h,0.1798071666150596,mean_abs_shap,21
target_aqi_24h,random_forest,wind_speed_10m_rolling_std_48h,Wind speed rolling std 48h,0.17040431806225287,mean_abs_shap,22
target_aqi_24h,random_forest,pm2_5_rolling_std_72h,PM2.5 rolling std 72h,0.16696642109449364,mean_abs_shap,23
target_aqi_24h,random_forest,pm10_lag_1h,PM10 lag 1h,0.1588743456042374,mean_abs_shap,24
target_aqi_24h,random_forest,temperature_2m_rolling_mean_72h,Temperature rolling mean 72h,0.13507381090654966,mean_abs_shap,25
target_aqi_24h,random_forest,us_aqi_lag_24h,US AQI lag 24h,0.11890315322466757,mean_abs_shap,26
target_aqi_24h,random_forest,us_aqi_lag_12h,US AQI lag 12h,0.11699601888418103,mean_abs_shap,27
target_aqi_24h,random_forest,temperature_2m_rolling_std_24h,Temperature rolling std 24h,0.09016984199573783,mean_abs_shap,28
target_aqi_24h,random_forest,pm2_5_rolling_std_48h,PM2.5 rolling std 48h,0.08759356154846593,mean_abs_shap,29
target_aqi_24h,random_forest,us_aqi_lag_48h,US AQI lag 48h,0.07669475462787775,mean_abs_shap,30
target_aqi_24h,random_forest,us_aqi_rolling_mean_24h,US AQI rolling mean 24h,0.07619264289238038,mean_abs_shap,31
target_aqi_24h,random_forest,wind_direction_10m_lag_72h,Wind direction lag 72h,0.07368131893410727,mean_abs_shap,32
target_aqi_24h,random_forest,us_aqi_rolling_mean_72h,US AQI rolling mean 72h,0.07271710341097437,mean_abs_shap,33
target_aqi_24h,random_forest,wind_speed_10m_rolling_std_24h,Wind speed rolling std 24h,0.07211910426353599,mean_abs_shap,34
target_aqi_24h,random_forest,wind_speed_10m,Wind speed,0.07166274061268818,mean_abs_shap,35
target_aqi_24h,random_forest,aqi_change_24h,AQI change 24h,0.06920054913985725,mean_abs_shap,36
target_aqi_24h,random_forest,pm10_rolling_mean_48h,PM10 rolling mean 48h,0.06418045602455882,mean_abs_shap,37
target_aqi_24h,random_forest,pressure_msl,Pressure,0.05993506390045623,mean_abs_shap,38
