city,latitude,longitude,time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,wind_direction_10m,pressure_msl,cloud_cover,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi
Karachi,24.8607,67.0011,2026-04-01 00:00:00,24.5,64,0.0,8.9,276,1010.4,100,53.0,29.6,508.0,23.3,13.2,89.0,75
Karachi,24.8607,67.0011,2026-04-01 01:00:00,24.5,65,0.0,8.4,281,1010.0,99,51.9,27.8,432.0,18.4,11.4,94.0,75
Karachi,24.8607,67.0011,2026-04-01 02:00:00,24.0,68,0.0,7.3,286,1009.3,100,49.5,25.5,358.0,14.3,9.9,98.0,76
Karachi,24.8607,67.0011,2026-04-01 03:00:00,23.9,69,0.0,8.8,287,1008.9,100,45.8,23.6,281.0,11.6,9.0,98.0,76
Karachi,24.8607,67.0011,2026-04-01 04:00:00,23.4,72,0.0,8.4,290,1008.7,93,41.6,22.0,206.0,9.8,8.4,96.0,76
Karachi,24.8607,67.0011,2026-04-01 05:00:00,24.0,70,0.0,9.4,281,1009.0,100,39.5,21.8,197.0,11.7,8.5,91.0,76
Karachi,24.8607,67.0011,2026-04-01 06:00:00,23.9,70,0.0,10.1,281,1009.2,99,36.9,21.0,329.0,17.2,9.3,87.0,75
Karachi,24.8607,67.0011,2026-04-01 07:00:00,23.7,72,0.0,9.4,282,1009.6,100,38.2,23.7,527.0,24.5,10.6,82.0,75
Karachi,24.8607,67.0011,2026-04-01 08:00:00,24.9,67,0.0,9.9,279,1010.4,99,41.1,25.4,634.0,27.6,12.3,85.0,75
Karachi,24.8607,67.0011,2026-04-01 09:00:00,26.4,58,0.0,13.3,273,1011.0,100,40.0,21.7,552.0,22.5,15.0,102.0,75
Karachi,24.8607,67.0011,2026-04-01 10:00:00,27.4,53,0.0,13.4,263,1011.3,100,38.0,20.4,378.0,13.2,18.1,127.0,74
Karachi,24.8607,67.0011,2026-04-01 11:00:00,27.9,50,0.0,15.3,261,1011.6,100,37.0,19.8,249.0,6.1,19.9,144.0,74
